Price,Close,High,Low,Open,Volume
Ticker,^BVSP,^BVSP,^BVSP,^BVSP,^BVSP
Date,,,,,
2010-01-04,70045.0,70081.0,68587.0,68587.0,1655400
2010-01-05,70240.0,70595.0,69928.0,70046.0,1984200
2010-01-06,70729.0,70937.0,70016.0,70237.0,2243600
2010-01-07,70451.0,70723.0,70045.0,70723.0,1555000
2010-01-08,70263.0,70766.0,70158.0,70455.0,1634400
2010-01-11,70433.0,71068.0,70158.0,70267.0,1569000
2010-01-12,70076.0,70429.0,69284.0,70429.0,1628600
2010-01-13,70385.0,70626.0,69535.0,70081.0,1818800
2010-01-14,69801.0,70508.0,69661.0,70377.0,1830200
2010-01-15,68978.0,69788.0,68695.0,69780.0,1648400
2010-01-18,69401.0,69748.0,68983.0,68983.0,1139000
2010-01-19,69909.0,70036.0,68867.0,69396.0,1323400
2010-01-20,68200.0,69901.0,67546.0,69901.0,1990600
2010-01-21,66270.0,68458.0,65996.0,68200.0,2263800
2010-01-22,66220.0,66660.0,65445.0,66264.0,1305000
2010-01-26,65524.0,66213.0,64719.0,66213.0,1990400
2010-01-27,65070.0,65663.0,64553.0,65527.0,1813600
2010-01-28,65588.0,66049.0,64541.0,65071.0,1649400
2010-01-29,65402.0,66576.0,65140.0,65591.0,1823200
2010-02-01,66572.0,66763.0,65362.0,65402.0,1494400
2010-02-02,67163.0,67321.0,66539.0,66589.0,1587800
2010-02-03,67109.0,67347.0,66774.0,67163.0,1765000
2010-02-04,63934.0,67100.0,63750.0,67100.0,2262400
2010-02-05,62763.0,64001.0,61341.0,63934.0,3053000
2010-02-08,63153.0,63923.0,62728.0,62760.0,1875600
2010-02-09,64718.0,65526.0,63164.0,63164.0,1357400
2010-02-10,65051.0,65170.0,64320.0,64721.0,891000
2010-02-11,66129.0,66145.0,64344.0,65050.0,1259000
2010-02-12,65855.0,66133.0,65123.0,66129.0,873200
2010-02-17,67285.0,67542.0,65863.0,65863.0,0
2010-02-18,67836.0,67836.0,66550.0,67285.0,1286600
2010-02-19,67597.0,67935.0,67210.0,67811.0,1248000
2010-02-22,67184.0,68120.0,67035.0,67598.0,1401600
2010-02-23,66108.0,67179.0,65660.0,67179.0,1644800
2010-02-24,65795.0,66514.0,65534.0,66110.0,1573000
2010-02-25,66121.0,66325.0,64429.0,65765.0,1792200
2010-02-26,66503.0,66510.0,65607.0,66118.0,1731400
2010-03-01,67228.0,67397.0,66511.0,66511.0,1363000
2010-03-02,67779.0,68250.0,67228.0,67228.0,1708600
2010-03-03,67641.0,68813.0,67482.0,67780.0,2113800
2010-03-04,67815.0,68198.0,66924.0,67643.0,1398600
2010-03-05,68847.0,68930.0,67823.0,67823.0,1950600
2010-03-08,68575.0,69070.0,68318.0,68851.0,1428200
2010-03-09,69576.0,70144.0,68255.0,68573.0,2464200
2010-03-10,69979.0,70476.0,69578.0,69578.0,1909200
2010-03-11,69885.0,70183.0,69411.0,69981.0,1627200
2010-03-12,69341.0,70486.0,69341.0,69901.0,1569000
2010-03-15,69024.0,69384.0,68623.0,69340.0,1453000
2010-03-16,69942.0,69949.0,69022.0,69023.0,1302400
2010-03-17,69723.0,70424.0,69376.0,69945.0,1372000
2010-03-18,69697.0,70128.0,68972.0,69726.0,1656200
2010-03-19,68829.0,69998.0,68773.0,69701.0,1957400
2010-03-22,69042.0,69121.0,67899.0,68814.0,1395200
2010-03-23,69387.0,69613.0,68913.0,69049.0,1606600
2010-03-24,68913.0,69677.0,68744.0,69382.0,1597400
2010-03-25,68442.0,69572.0,68377.0,68916.0,1478400
2010-03-26,68683.0,68910.0,68024.0,68442.0,1771400
2010-03-29,69939.0,69943.0,68681.0,68681.0,1528000
2010-03-30,69960.0,70451.0,69750.0,69942.0,1490000
2010-03-31,70372.0,70392.0,69573.0,69960.0,1676800
2010-04-01,71136.0,71401.0,70373.0,70375.0,1552800
2010-04-05,71290.0,71645.0,71148.0,71148.0,1316000
2010-04-06,71096.0,71711.0,70823.0,71290.0,1697000
2010-04-07,70793.0,71257.0,70531.0,71092.0,1720400
2010-04-08,71785.0,71805.0,70462.0,70793.0,1701800
2010-04-09,71417.0,71989.0,71307.0,71783.0,1680000
2010-04-12,70614.0,71607.0,70505.0,71414.0,1471600
2010-04-13,70792.0,71053.0,70169.0,70618.0,1634200
2010-04-14,71035.0,71207.0,70628.0,70794.0,1758800
2010-04-15,70524.0,71066.0,70429.0,71036.0,2264600
2010-04-16,69421.0,70522.0,69013.0,70522.0,2043800
2010-04-19,69098.0,69431.0,68378.0,69418.0,1722000
2010-04-20,69318.0,69702.0,69101.0,69101.0,1750200
2010-04-22,69386.0,69528.0,68081.0,69313.0,1787200
2010-04-23,69509.0,69709.0,68832.0,69388.0,1366800
2010-04-26,68872.0,69810.0,68813.0,69509.0,1179400
2010-04-27,66511.0,68868.0,66499.0,68868.0,2062200
2010-04-28,66656.0,67253.0,65914.0,66513.0,1855600
2010-04-29,67978.0,68012.0,66661.0,66661.0,1609400
2010-04-30,67530.0,67975.0,67243.0,67975.0,2120200
2010-05-03,67119.0,67969.0,66723.0,67534.0,1776000
2010-05-04,64869.0,67116.0,64588.0,67116.0,2820000
2010-05-05,64914.0,65612.0,63533.0,64859.0,2681200
2010-05-06,63414.0,65533.0,60774.0,64915.0,3207600
2010-05-07,62871.0,63945.0,61663.0,63416.0,2903400
2010-05-10,65453.0,66083.0,62872.0,62872.0,2377400
2010-05-11,64425.0,65733.0,64425.0,65449.0,2401600
2010-05-12,65224.0,65351.0,64438.0,64438.0,1981400
2010-05-13,64788.0,65427.0,64738.0,65223.0,1798200
2010-05-14,63412.0,64787.0,63050.0,64787.0,2220800
2010-05-17,62866.0,63593.0,61825.0,63406.0,2746000
2010-05-18,60841.0,63529.0,60810.0,62871.0,2787000
2010-05-19,59689.0,60850.0,59068.0,60841.0,3203000
2010-05-20,58192.0,59684.0,57634.0,59684.0,3369200
2010-05-21,60259.0,60303.0,57997.0,58192.0,2558200
2010-05-24,59915.0,60850.0,59815.0,60255.0,1792600
2010-05-25,59184.0,59912.0,57876.0,59912.0,2477800
2010-05-26,60190.0,60701.0,59179.0,59182.0,3638600
2010-05-27,62092.0,62262.0,60189.0,60191.0,2388000
2010-05-28,61947.0,62247.0,61305.0,62080.0,2081600
2010-05-31,63047.0,63047.0,61950.0,61950.0,1197600
2010-06-01,61841.0,63033.0,61605.0,63033.0,2253800
2010-06-02,62943.0,63198.0,61814.0,61836.0,1878400
2010-06-04,61676.0,62940.0,61422.0,62940.0,1691000
2010-06-07,61183.0,62119.0,61099.0,61675.0,1627000
2010-06-08,61856.0,62000.0,61187.0,61187.0,1605200
2010-06-09,61479.0,62684.0,61479.0,61799.0,1736400
2010-06-10,63049.0,63146.0,61484.0,61484.0,1717000
2010-06-11,63605.0,63766.0,62371.0,63044.0,1345800
2010-06-14,63533.0,64296.0,63529.0,63613.0,1793600
2010-06-15,64442.0,64554.0,63534.0,63534.0,1267200
2010-06-16,64751.0,65097.0,63974.0,64442.0,2441000
2010-06-17,64541.0,65182.0,64115.0,64745.0,1888800
2010-06-18,64438.0,64941.0,64239.0,64542.0,1871800
2010-06-21,64829.0,65517.0,64442.0,64442.0,1623000
2010-06-22,64811.0,65831.0,64690.0,64834.0,1931800
2010-06-23,65160.0,65161.0,64247.0,64812.0,1762200
2010-06-24,63937.0,65154.0,63736.0,65154.0,1786400
2010-06-25,64824.0,64869.0,63806.0,63937.0,1257200
2010-06-28,64225.0,65105.0,64225.0,64825.0,943200
2010-06-29,61978.0,64216.0,61670.0,64216.0,2196000
2010-06-30,60936.0,62645.0,60936.0,61972.0,1958400
2010-07-01,61236.0,61381.0,60056.0,60935.0,2130000
2010-07-02,61430.0,61812.0,60764.0,61236.0,1143800
2010-07-05,60865.0,61667.0,60796.0,61436.0,760000
2010-07-06,62065.0,62451.0,60870.0,60870.0,1786600
2010-07-07,63284.0,63313.0,62004.0,62067.0,1732200
2010-07-08,63476.0,63596.0,62895.0,63282.0,1658000
2010-07-12,62960.0,63972.0,62750.0,63477.0,1229000
2010-07-13,63686.0,63777.0,62964.0,62964.0,1583800
2010-07-14,63479.0,63688.0,63015.0,63686.0,1450400
2010-07-15,63489.0,63612.0,62960.0,63482.0,1564800
2010-07-16,62339.0,63492.0,62298.0,63487.0,1326400
2010-07-19,63297.0,63300.0,62351.0,62351.0,1276400
2010-07-20,64463.0,64481.0,62902.0,63290.0,2429400
2010-07-21,64477.0,65136.0,64209.0,64468.0,1821800
2010-07-22,65748.0,66213.0,64504.0,64504.0,2320600
2010-07-23,66323.0,66323.0,65427.0,65748.0,1540000
2010-07-26,66443.0,66619.0,66151.0,66322.0,1234400
2010-07-27,66674.0,67102.0,66293.0,66449.0,1601800
2010-07-28,66808.0,67051.0,66427.0,66670.0,1939400
2010-07-29,66954.0,67428.0,66596.0,66796.0,2160200
2010-07-30,67515.0,67608.0,66218.0,66951.0,2088400
2010-08-02,68517.0,68754.0,67524.0,67524.0,1766600
2010-08-03,67997.0,68561.0,67942.0,68517.0,1900000
2010-08-04,68272.0,68534.0,67577.0,67996.0,1875200
2010-08-05,68412.0,68471.0,68002.0,68271.0,1611600
2010-08-06,68095.0,68509.0,67686.0,68416.0,1513200
2010-08-09,67862.0,68513.0,67749.0,68096.0,1254800
2010-08-10,67223.0,67836.0,66946.0,67836.0,1625400
2010-08-11,65790.0,67217.0,65690.0,67217.0,1732800
2010-08-12,65966.0,66027.0,65257.0,65788.0,1546600
2010-08-13,66264.0,66590.0,65921.0,65964.0,1841200
2010-08-16,66702.0,66868.0,66187.0,66260.0,1394800
2010-08-17,67584.0,67666.0,66702.0,66702.0,1747000
2010-08-18,67638.0,67745.0,67006.0,67584.0,2367000
2010-08-19,66887.0,67713.0,66824.0,67641.0,1920000
2010-08-20,66677.0,66892.0,66337.0,66892.0,1414600
2010-08-23,65982.0,67175.0,65982.0,66678.0,1379600
2010-08-24,65156.0,65946.0,65013.0,65946.0,1604200
2010-08-25,64803.0,65156.0,64164.0,65156.0,1753000
2010-08-26,63867.0,65271.0,63804.0,64802.0,1773400
2010-08-27,65585.0,65589.0,63848.0,63875.0,1764000
2010-08-30,64261.0,65585.0,64255.0,65585.0,1286400
2010-08-31,65145.0,65182.0,64202.0,64262.0,3284800
2010-09-01,67073.0,67073.0,65154.0,65154.0,2509000
2010-09-02,66808.0,67168.0,66405.0,67073.0,1601200
2010-09-03,66679.0,67673.0,66541.0,66812.0,2019200
2010-09-06,66747.0,66949.0,66380.0,66679.0,651400
2010-09-08,66407.0,66739.0,66101.0,66739.0,1716000
2010-09-09,66624.0,66807.0,66353.0,66411.0,1438800
