Price,Close,High,Low,Open,Volume
Ticker,^FCHI,^FCHI,^FCHI,^FCHI,^FCHI
Date,,,,,
2010-01-04,4013.969970703125,4013.969970703125,3950.610107421875,3952.2099609375,113396000
2010-01-05,4012.909912109375,4028.340087890625,3993.330078125,4012.429931640625,129518600
2010-01-06,4017.669921875,4022.93994140625,3996.800048828125,4014.449951171875,110087000
2010-01-07,4024.800048828125,4032.239990234375,3983.89990234375,4005.9599609375,118430400
2010-01-08,4045.139892578125,4051.409912109375,4013.340087890625,4042.639892578125,131783200
2010-01-11,4043.090087890625,4088.179931640625,4039.330078125,4071.39990234375,110068800
2010-01-12,4000.050048828125,4049.47998046875,3980.199951171875,4044.18994140625,124775800
2010-01-13,4000.860107421875,4007.860107421875,3979.14990234375,3979.93994140625,117700800
2010-01-14,4015.77001953125,4029.7099609375,3993.5,4029.199951171875,108974600
2010-01-15,3954.3798828125,4044.080078125,3949.89990234375,4030.93994140625,162295200
2010-01-18,3977.4599609375,3982.7900390625,3954.280029296875,3971.169921875,86949800
2010-01-19,4009.669921875,4019.8798828125,3930.909912109375,3968.72998046875,115690200
2010-01-20,3928.949951171875,4013.47998046875,3915.9599609375,3996.360107421875,143524600
2010-01-21,3862.159912109375,3966.199951171875,3862.159912109375,3955.780029296875,112341400
2010-01-22,3820.780029296875,3859.64990234375,3786.2900390625,3840.06005859375,170381000
2010-01-25,3781.85009765625,3833.43994140625,3780.5,3793.6298828125,131374000
2010-01-26,3807.0400390625,3807.47998046875,3741.360107421875,3748.030029296875,141543200
2010-01-27,3759.800048828125,3793.6298828125,3737.2900390625,3769.659912109375,136321600
2010-01-28,3688.7900390625,3812.18994140625,3688.7900390625,3812.18994140625,168079800
2010-01-29,3739.4599609375,3768.389892578125,3696.0,3712.02001953125,149875800
2010-02-01,3762.010009765625,3774.360107421875,3702.010009765625,3713.169921875,119833200
2010-02-02,3812.1298828125,3819.070068359375,3737.719970703125,3766.830078125,134752600
2010-02-03,3793.469970703125,3831.3798828125,3784.320068359375,3819.77001953125,124554600
2010-02-04,3689.25,3806.2099609375,3685.570068359375,3792.419921875,175687000
2010-02-05,3563.760009765625,3673.7099609375,3563.760009765625,3665.909912109375,263299600
2010-02-08,3607.27001953125,3616.669921875,3545.909912109375,3595.3798828125,169862000
2010-02-09,3612.760009765625,3633.590087890625,3583.5400390625,3598.659912109375,147671300
2010-02-10,3635.610107421875,3673.6298828125,3617.719970703125,3638.389892578125,187758600
2010-02-11,3616.75,3675.639892578125,3581.860107421875,3659.949951171875,261448600
2010-02-12,3599.070068359375,3661.0400390625,3579.39990234375,3647.27001953125,186454000
