Price,Close,High,Low,Open,Volume
Ticker,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE
Date,,,,,
2010-01-04,11866.900390625,11872.2001953125,11746.099609375,11847.2998046875,132670500
2010-01-05,11888.099609375,11935.2001953125,11837.2001953125,11900.0,167798200
2010-01-06,11944.5,11971.599609375,11888.099609375,11912.900390625,194400800
2010-01-07,11887.5,11944.5,11819.5,11925.0,190573600
2010-01-08,11953.7998046875,11953.7998046875,11863.099609375,11883.2998046875,167761200
2010-01-11,11947.099609375,12070.7001953125,11923.2001953125,12070.7001953125,172295300
2010-01-12,11820.2001953125,11947.099609375,11766.5,11866.599609375,177640000
2010-01-13,11853.599609375,11865.2001953125,11738.599609375,11802.7998046875,172419900
2010-01-14,11804.400390625,11888.2998046875,11776.400390625,11873.599609375,161042700
2010-01-15,11685.400390625,11804.400390625,11684.2001953125,11782.599609375,148632900
2010-01-18,11750.5,11754.099609375,11685.400390625,11711.099609375,632200
2010-01-19,11763.400390625,11765.599609375,11710.400390625,11746.2001953125,144213400
2010-01-20,11679.2998046875,11763.400390625,11581.599609375,11699.099609375,193857300
2010-01-21,11469.099609375,11679.2998046875,11461.2998046875,11557.2001953125,197664900
2010-01-22,11343.400390625,11481.0,11318.2998046875,11400.0,194087600
2010-01-25,11354.5,11423.2998046875,11343.400390625,11384.7001953125,134679900
2010-01-26,11361.2001953125,11421.599609375,11271.400390625,11349.2998046875,165123100
2010-01-27,11344.099609375,11367.400390625,11259.0,11324.7001953125,196445400
2010-01-28,11274.2001953125,11389.2001953125,11162.099609375,11279.599609375,181342100
2010-01-29,11094.2998046875,11324.2001953125,11084.2998046875,11142.7998046875,183158600
2010-02-01,11317.599609375,11317.599609375,11094.2998046875,11147.5,151740700
2010-02-02,11408.2998046875,11430.2998046875,11297.599609375,11366.0,201381600
2010-02-03,11390.5,11454.599609375,11348.7001953125,11395.599609375,177829900
2010-02-04,11128.7998046875,11390.5,11120.099609375,11163.599609375,213830700
2010-02-05,11223.099609375,11223.099609375,10990.400390625,11123.7001953125,213138200
2010-02-08,11115.2998046875,11277.599609375,11099.5,11135.099609375,151081000
2010-02-09,11274.2001953125,11314.400390625,11115.2998046875,11210.0,166711900
2010-02-10,11286.2998046875,11321.400390625,11212.400390625,11280.2998046875,153652200
2010-02-11,11435.5,11438.0,11232.900390625,11300.099609375,202980700
2010-02-12,11469.7998046875,11469.7998046875,11335.7001953125,11349.2001953125,175657700
2010-02-16,11586.400390625,11601.5,11469.7998046875,11545.5,156177800
2010-02-17,11635.5,11697.0,11586.400390625,11605.599609375,166419800
2010-02-18,11694.7998046875,11712.2998046875,11618.599609375,11629.7001953125,144869600
2010-02-19,11709.2998046875,11758.2001953125,11679.599609375,11692.0,138424500
2010-02-22,11634.7998046875,11763.2998046875,11634.7998046875,11745.099609375,119081200
2010-02-23,11526.7001953125,11634.7998046875,11481.599609375,11606.599609375,149779200
2010-02-24,11521.7998046875,11584.400390625,11492.7998046875,11526.7998046875,124588100
2010-02-25,11631.400390625,11637.400390625,11421.0,11457.400390625,177113500
2010-02-26,11629.599609375,11664.400390625,11591.0,11654.7998046875,159871000
2010-03-01,11728.099609375,11732.099609375,11629.599609375,11682.7998046875,138624800
2010-03-02,11828.2998046875,11843.7001953125,11728.099609375,11751.599609375,161257900
2010-03-03,11852.900390625,11876.5,11811.400390625,11842.2001953125,163136300
2010-03-04,11825.0,11876.7001953125,11792.400390625,11866.7998046875,175292000
2010-03-05,11975.099609375,11975.099609375,11825.0,11878.400390625,170065800
2010-03-08,11963.7998046875,12039.5,11958.5,12026.2998046875,143493100
2010-03-09,11918.7001953125,11965.099609375,11893.400390625,11923.099609375,177582200
2010-03-10,11961.099609375,11994.599609375,11916.599609375,11931.7998046875,199895800
2010-03-11,11979.7001953125,11981.7998046875,11909.599609375,11935.7998046875,142983100
2010-03-12,12013.7998046875,12047.599609375,11954.400390625,12019.7998046875,177279900
2010-03-15,12008.7998046875,12016.7998046875,11908.0,11988.400390625,128560300
2010-03-16,12089.400390625,12097.7001953125,12008.7998046875,12048.7998046875,155497800
2010-03-17,12100.7001953125,12122.5,12085.2998046875,12122.5,158066600
2010-03-18,12040.0,12129.2998046875,12008.099609375,12091.099609375,155656200
2010-03-19,11948.0,12047.400390625,11926.0,12032.0,342072200
2010-03-22,11967.2001953125,11991.5,11844.0,11876.599609375,211048700
2010-03-23,12044.5,12048.0,11967.2001953125,11988.0,193096400
