Price,Close,High,Low,Open,Volume
Ticker,^IBEX,^IBEX,^IBEX,^IBEX,^IBEX
Date,,,,,
2010-01-04,12145.0869140625,12145.0869140625,11986.087080265723,11986.487470472193,184200
2010-01-05,12204.3876953125,12240.487267135813,12139.787176574093,12141.787174493644,238400
2010-01-06,12222.4873046875,12230.687491482591,12147.586991860322,12216.387701648066,123800
2010-01-07,12166.287109375,12199.687465147299,12079.087005054318,12162.987308130785,192400
2010-01-08,12162.9873046875,12232.187427771265,12079.887782048956,12217.98724728043,213200
2010-01-11,12074.4873046875,12233.88752771651,12066.086922894798,12192.48718062051,230800
2010-01-12,11966.087890625,12134.1883119367,11941.087915108228,12094.388546226306,186800
2010-01-13,11958.2880859375,12027.188409042328,11909.587938349629,11922.988315842676,181800
2010-01-14,11999.7880859375,12050.38862245954,11902.288181153932,12049.087842479857,153800
2010-01-15,11844.98828125,12085.287848198932,11818.587916744002,12028.488099705835,236400
2010-01-18,11870.6884765625,11897.688449908112,11788.788166789529,11888.48826367804,95600
2010-01-19,12022.587890625,12049.188450634196,11772.488525028792,11850.388839722193,202400
2010-01-20,11708.98828125,12038.987950975212,11642.488347805374,11987.287807405957,233600
2010-01-21,11443.98828125,11788.787732859668,11414.087921243246,11771.787750267807,288200
2010-01-22,11373.388671875,11423.488229629133,11204.488455278995,11409.988243539055,302600
2010-01-25,11249.2880859375,11383.28794634548,11223.68850323042,11275.388644685198,203600
2010-01-26,11347.2880859375,11385.488241799334,11140.3888855472,11158.788280607987,217400
2010-01-27,11042.189453125,11203.889491130642,10997.689496415951,11199.489104786477,328400
2010-01-28,10829.2890625,11200.488889598288,10829.2890625,11154.889325456088,287000
2010-01-29,10947.689453125,11045.288966732553,10821.189577250314,10903.989300692347,222400
2010-02-01,10995.189453125,11033.689415510931,10839.389800652165,10852.38978795131,202800
2010-02-02,11140.888671875,11158.38865346732,10945.488486785302,11022.388796521287,208600
2010-02-03,10888.3896484375,11201.58855819402,10867.789082823954,11189.58857003288,269200
2010-02-04,10241.689453125,10920.088155636335,10220.689475151219,10882.288390595824,503400
2010-02-05,10103.2900390625,10277.490065996964,9916.590024210258,10123.290019730945,537800
2010-02-08,10206.2890625,10259.189397447044,9970.889896196697,10132.08894528362,310600
2010-02-09,10275.3896484375,10339.189386426922,10084.889847591465,10160.78918230662,279600
2010-02-10,10454.9892578125,10543.08877666789,10358.889747176861,10383.088941062917,306800
2010-02-11,10281.689453125,10557.389360389498,10162.689577454663,10554.488972794788,263000
2010-02-12,10224.8896484375,10409.788868246354,10149.189532654938,10393.889470887634,183600
2010-02-15,10293.5888671875,10386.788965238205,10240.289118122573,10298.489252698553,110000
2010-02-16,10393.8896484375,10430.48921998648,10230.389817416188,10397.889644303465,151800
2010-02-17,10498.5888671875,10551.489203684718,10426.48933158496,10470.889676779394,198800
2010-02-18,10574.189453125,10574.189453125,10417.889807220366,10466.689562332802,197400
2010-02-19,10676.689453125,10676.689453125,10403.989532185347,10472.389853990411,244800
2010-02-22,10570.4892578125,10773.588660789119,10541.088897065416,10752.489072856431,150200
2010-02-23,10312.8896484375,10638.588527930653,10267.489305102737,10597.588570637328,212000
2010-02-24,10253.9892578125,10333.788978900968,10089.38982087361,10304.689400010995,221800
2010-02-25,10126.189453125,10312.389450910552,10047.189536930651,10195.588793566447,219800
2010-02-26,10333.5888671875,10345.18944106573,10118.38987214564,10243.389742203173,230200
2010-03-01,10434.8896484375,10504.88957637614,10287.589018825996,10434.68945333109,164800
2010-03-02,10521.4892578125,10532.889636797987,10339.289248521827,10441.7891438719,176200
2010-03-03,10664.4892578125,10679.48924270323,10411.789317041037,10485.089047894766,194800
2010-03-04,10745.2890625,10814.588797907769,10577.089035338977,10595.589016844337,231200
2010-03-05,11019.7890625,11032.789049827497,10718.589160799818,10780.089100849134,217400
2010-03-08,11078.2890625,11123.789018380456,11031.68949831079,11103.088843140114,170600
2010-03-09,11002.7890625,11108.58876389367,10911.088956715685,11101.088771216024,170600
2010-03-10,11120.98828125,11120.98828125,10976.788237888408,11018.288194157796,166400
2010-03-11,11045.3896484375,11127.989177480375,10988.289118033088,11076.189423170696,156000
2010-03-12,11076.9892578125,11181.288961352751,11049.389675202885,11078.889646594549,148400
2010-03-15,10957.7890625,11078.28894437103,10932.189478220896,11069.889538542673,145600
2010-03-16,11059.2890625,11061.789060071686,10921.089001424969,11028.588897007405,167000
2010-03-17,11166.7880859375,11189.98825690307,11090.388752050669,11127.988321967594,172200
2010-03-18,11073.4892578125,11156.38956801744,11021.289113138397,11119.588822467163,177400
2010-03-19,10990.7890625,11141.389501243506,10929.588927003344,11132.389510039924,277800
2010-03-22,10861.8896484375,10960.389551023103,10694.189618976912,10959.588770565058,212800
2010-03-23,10996.189453125,11013.88963114618,10864.789190865036,10884.489366932416,215000
2010-03-24,10866.2890625,11041.088694384216,10747.489375255402,11026.989098947784,217800
2010-03-25,11091.388671875,11092.788084458933,10825.888952392159,10908.488474495567,189800
2010-03-26,11071.0888671875,11123.989206483731,11003.989322918642,11054.088883682445,150000
2010-03-29,11090.98828125,11166.388592206951,11012.988363664796,11108.188458388775,134400
2010-03-30,10980.689453125,11156.989085342118,10967.989270236834,11133.588717609227,131800
2010-03-31,10871.2890625,11014.78892070427,10773.98935395673,10942.788991849166,196200
2010-04-01,11067.8896484375,11067.8896484375,10892.989427565815,10950.38976247964,127800
2010-04-06,11160.587890625,11185.087864899735,10968.18867858396,11143.188494832073,165600
2010-04-07,11191.2880859375,11235.688430069502,11083.188589756885,11152.288126775584,213800
2010-04-08,11076.2890625,11152.989183425936,10976.989354116964,11133.989201852808,203000
2010-04-09,11394.1884765625,11408.488266542883,11139.488543205018,11161.08813036517,257600
2010-04-12,11460.7880859375,11554.787989821825,11416.08793633127,11467.988273887748,191800
2010-04-13,11460.98828125,11535.68840018235,11403.488340043135,11415.788132154217,196600
2010-04-14,11503.6884765625,11566.087827059095,11460.188520875688,11519.587874428364,155800
2010-04-15,11523.48828125,11543.888651128951,11371.98843531696,11533.087880862739,196800
2010-04-16,11259.6884765625,11546.888372965861,11210.488332456052,11441.688287142491,318000
2010-04-19,11199.48828125,11264.087823030315,11118.188561631663,11155.488327290002,200600
2010-04-20,11305.587890625,11334.688446398466,11140.08806217301,11256.28813703891,186400
2010-04-21,11064.689453125,11337.288797846095,11041.789084732893,11328.489001701904,210800
2010-04-22,10821.8896484375,11079.189197720436,10753.389716432937,11045.08864563234,297200
2010-04-23,10918.189453125,11027.288955159189,10759.689609069816,10833.189536754711,225400
2010-04-26,10939.2890625,11092.588716649963,10837.789162171099,11042.689351587753,243600
2010-04-27,10480.8896484375,10904.488823652622,10480.8896484375,10884.588453424127,317200
2010-04-28,10166.9892578125,10480.288731475583,10077.889742577829,10350.788868301912,502800
2010-04-29,10440.9892578125,10511.288990172283,10138.589178311118,10190.689710645107,325200
2010-04-30,10492.189453125,10648.588707061712,10382.18956574586,10477.088882647873,270800
