Price,Close,High,Low,Open,Volume
Ticker,^MXX,^MXX,^MXX,^MXX,^MXX
Date,,,,,
2010-01-04,32758.529296875,32758.529296875,32120.740234375,32120.740234375,136257800
2010-01-05,32732.759765625,33073.7109375,32628.240234375,32729.30078125,165541900
2010-01-06,32830.16015625,32922.12109375,32639.439453125,32730.419921875,126000100
2010-01-07,33064.5703125,33069.78125,32670.98046875,32830.21875,123563200
2010-01-08,32892.0390625,33080.05078125,32779.66015625,33067.5703125,109516900
2010-01-11,32935.37890625,33047.23046875,32711.0390625,32892.109375,150332200
2010-01-12,32792.66015625,32976.609375,32719.619140625,32950.33984375,139205800
2010-01-13,32836.078125,32929.3203125,32607.939453125,32792.87109375,143683200
2010-01-14,32729.580078125,32847.9296875,32429.669921875,32843.55859375,447963200
2010-01-15,32262.30078125,32728.41015625,32262.099609375,32725.41015625,318270300
2010-01-18,32482.73046875,32491.48046875,32262.529296875,32262.529296875,32108200
2010-01-19,32473.05078125,32618.009765625,32367.859375,32493.359375,213255300
2010-01-20,32025.33984375,32466.0390625,31946.76953125,32466.0390625,215329000
2010-01-21,31205.30078125,32151.80078125,31181.720703125,32033.849609375,243330800
2010-01-22,30830.91015625,31212.55078125,30612.060546875,31203.099609375,210227600
2010-01-25,30465.060546875,31080.98046875,30465.060546875,30831.400390625,196961600
2010-01-26,30651.560546875,30764.759765625,30209.08984375,30461.859375,183139500
2010-01-27,30610.830078125,30677.0390625,30082.76953125,30629.7890625,306309200
2010-01-28,30811.349609375,30926.05078125,30334.669921875,30620.58984375,202374700
2010-01-29,30391.609375,31002.7890625,30343.05078125,30811.470703125,241668900
2010-02-02,30876.650390625,30922.029296875,30416.640625,30416.640625,183848300
2010-02-03,31287.0390625,31396.900390625,30763.640625,30869.990234375,212362200
2010-02-04,30603.7109375,31285.529296875,30530.41015625,31285.529296875,182901900
2010-02-05,30630.73046875,30630.73046875,29926.060546875,30603.880859375,202078000
2010-02-08,30649.439453125,30778.01953125,30528.9609375,30633.380859375,147957200
2010-02-09,30818.48046875,30998.1796875,30649.55078125,30649.55078125,184952300
2010-02-10,30746.05078125,30897.94921875,30460.30078125,30836.609375,157155400
2010-02-11,30845.630859375,30994.33984375,30686.830078125,30746.5390625,144841900
2010-02-12,31005.740234375,31005.740234375,30641.0390625,30845.75,125680300
2010-02-15,31038.3203125,31120.720703125,30896.109375,31006.5390625,33729400
2010-02-16,31644.76953125,31644.76953125,31071.640625,31071.640625,167793000
2010-02-17,31892.119140625,31892.119140625,31641.189453125,31644.91015625,163983200
2010-02-18,32170.7890625,32216.939453125,31695.630859375,31889.0703125,193725100
2010-02-19,32172.109375,32283.140625,31890.73046875,32160.220703125,198987100
