Price,Close,High,Low,Open,Volume
Ticker,^WIG,^WIG,^WIG,^WIG,^WIG
Date,,,,,
2013-04-30,44162.1796875,44162.1796875,43507.5390625,43991.73046875,0
2013-05-02,43991.51171875,44312.359375,43991.51171875,44103.66015625,0
2013-05-06,44541.73046875,44541.73046875,44102.6015625,44248.91015625,0
2013-05-07,44742.21875,44870.26953125,44446.890625,44493.83984375,0
2013-05-08,45117.94140625,45117.94140625,44818.03125,44855.80078125,0
2013-05-09,44943.16015625,45267.71875,44853.9296875,45229.0,0
2013-05-10,44895.3515625,45064.609375,44787.578125,44949.76171875,0
2013-05-13,45207.83984375,45207.83984375,44865.890625,44886.6015625,0
2013-05-14,45771.109375,45806.73828125,45142.41015625,45300.28125,0
2013-05-15,46102.421875,46102.421875,45742.3515625,46021.41015625,0
2013-05-16,45992.03125,46142.73828125,45854.66015625,46095.328125,0
2013-05-17,46078.6796875,46197.8203125,45869.7109375,45928.76171875,0
2013-05-20,46041.3515625,46527.01953125,46041.03125,46213.8203125,0
2013-05-21,45851.80078125,46303.41015625,45825.9609375,46207.4296875,0
2013-05-22,45933.66015625,46085.62109375,45826.30859375,46039.01171875,0
2013-05-23,45687.76171875,45746.16015625,45167.71875,45260.28125,0
2013-05-24,46145.44140625,46273.73046875,45786.9296875,45786.9296875,0
2013-05-28,47579.87109375,47841.390625,47343.19140625,47458.859375,0
2013-05-29,47476.640625,47663.19921875,47338.37109375,47482.80078125,0
2013-05-31,47806.33984375,47806.33984375,47317.9296875,47317.9296875,0
2013-06-03,47175.7890625,47564.28125,47084.75,47398.140625,0
2013-06-04,47620.6796875,47640.94921875,47326.55859375,47326.55859375,0
2013-06-05,47805.94140625,47880.921875,47422.62890625,47537.6796875,0
2013-06-06,47573.66015625,47861.109375,47550.94140625,47754.390625,0
2013-06-07,48209.6484375,48431.4609375,47571.4609375,47611.55859375,0
2013-06-10,48495.01171875,48572.75,48291.73828125,48291.73828125,0
2013-06-11,48324.51953125,48482.87890625,48096.140625,48482.87890625,0
2013-06-12,48383.9296875,48523.48828125,48257.19140625,48333.4609375,0
